inchikey,standard_smiles
AFVMDRFUJONSCM-UHFFFAOYSA-N-1,c1ccc2cc3cc4c(ccc5c6ccccc6ccc45)cc3cc2c1
CSHWQDPOILHKBI-UHFFFAOYSA-N-1,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54
DHCSBRKYHMINPB-UHFFFAOYSA-N-1,c1ccc2cc3c(ccc4c5cc6ccccc6cc5ccc34)cc2c1
FTOVXSOBNPWTSH-UHFFFAOYSA-N-1,c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13
FUDUPLHPBBXJRW-UHFFFAOYSA-N-1,c1ccc2cc3c(cc2c1)c1ccccc1c1cc2ccccc2cc13
GBROPGWFBFCKAG-UHFFFAOYSA-N-1,c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21
GQDKQZAEQBGVBS-UHFFFAOYSA-N-1,c1ccc2c(c1)c1ccccc1c1c3ccccc3c3ccccc3c21
GVEPBJHOBDJJJI-UHFFFAOYSA-N-1,c1ccc2c(c1)-c1cccc3cccc-2c13
GWBFCDHVRQBXAV-UHFFFAOYSA-N-1,c1ccc2c(c1)ccc1cc3c4ccccc4c4ccccc4c3cc12
GYFAGKUZYNFMBN-UHFFFAOYSA-N-1,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56
HAXBIWFMXWRORI-UHFFFAOYSA-N-1,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12
HFLVQBRYQIXJAW-UHFFFAOYSA-N-1,c1ccc2cc3c(ccc4cc5c(ccc6ccccc65)cc43)cc2c1
IFLREYGFSNHWGE-UHFFFAOYSA-N-1,c1ccc2cc3cc4ccccc4cc3cc2c1
IHQGFGQIOMWFFZ-UHFFFAOYSA-N-1,c1ccc2c(c1)ccc1cc3c(ccc4c5ccccc5ccc34)cc12
IQHSIXFTHHMAIW-UHFFFAOYSA-N-1,c1ccc2cc3cc4c(ccc5ccc6ccccc6c54)cc3cc2c1
JBHIIKGZANVCJJ-UHFFFAOYSA-N-1,c1ccc2cc3c(cc2c1)c1ccccc1c1ccc2ccccc2c13
JKPCLJPYZMKPHM-UHFFFAOYSA-N-1,c1ccc2c(c1)ccc1ccc3ccc4ccccc4c3c12
JTRPLRMCBJSBJV-UHFFFAOYSA-N-1,c1ccc2cc3cc4c(ccc5ccccc54)cc3cc2c1
JVVYVDMBJGSYKH-UHFFFAOYSA-N-1,c1ccc2cc3c(ccc4c3ccc3c5ccccc5ccc34)cc2c1
JZOIZKBKSZMVRV-UHFFFAOYSA-N-1,c1ccc2c(c1)ccc1c3ccccc3c3ccccc3c21
KKWNFCVLJZXKCD-UHFFFAOYSA-N-1,c1ccc2c(c1)ccc1cc3cc4c(ccc5ccccc54)cc3cc12
LHRCREOYAASXPZ-UHFFFAOYSA-N-1,c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12
PKIFBGYEEVFWTJ-UHFFFAOYSA-N-1,c1ccc2cc3cc4c(ccc5cc6ccccc6cc54)cc3cc2c1
PLKNNIMJRPBOSW-UHFFFAOYSA-N-1,c1ccc2cc3cc4cc5c(ccc6ccccc65)cc4cc3cc2c1
QSQIGGCOCHABAP-UHFFFAOYSA-N-1,c1ccc2cc3cc4cc5cc6ccccc6cc5cc4cc3cc2c1
RAASUWZPTOJQAY-UHFFFAOYSA-N-1,c1ccc2cc3c4ccccc4c4ccccc4c3cc2c1
RXUSYFJGDZFVND-UHFFFAOYSA-N-1,c1ccc2c(c1)cc1ccc3c4ccccc4cc4ccc2c1c43
RYQHWGXLBQHJST-UHFFFAOYSA-N-1,c1cc2cc3cccc4c5cccc6cc7cccc8c(c1)c2c(c34)c(c78)c65
SDWITIWFFMGFHS-UHFFFAOYSA-N-1,c1ccc2cc3cc4c5ccccc5c5ccccc5c4cc3cc2c1
SLGBZMMZGDRARJ-UHFFFAOYSA-N-1,c1ccc2c(c1)c1ccccc1c1ccccc21
SLIUAWYAILUBJU-UHFFFAOYSA-N-1,c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1
TUAHORSUHVUKBD-UHFFFAOYSA-N-1,c1ccc2c(c1)ccc1ccc3ccccc3c12
UFHFLCQGNIYNRP-UHFFFAOYSA-N-1,[H][H]
UHOVQNZJYSORNB-UHFFFAOYSA-N-1,c1ccccc1
VGGSQFUCUMXWEO-UHFFFAOYSA-N-1,C=C
VNWKTOKETHGBQD-UHFFFAOYSA-N-1,C
VPUGDVKSAQVFFS-UHFFFAOYSA-N-1,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61
WCHUAFVNAGHGIM-UHFFFAOYSA-N-1,c1ccc2c(c1)ccc1cc3ccc4c5ccccc5ccc4c3cc12
WDECIBYCCFPHNR-UHFFFAOYSA-N-1,c1ccc2c(c1)ccc1c3ccccc3ccc21
YYGRIGYJXSQDQB-UHFFFAOYSA-N-1,c1ccc2cc3c(ccc4c5ccccc5ccc34)cc2c1
YZWGEMSQAMDWEM-UHFFFAOYSA-N-1,c1ccc2c(c1)ccc1c2ccc2ccc3ccccc3c21
